"Date","Month","Year","Site.Name","COUNTY","mean.lat","PM2.5","Ozone"
2018-01-12,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,20,33
2018-01-12,1,2018,"Hattie Avenue","Forsyth",36.110693332,23,NA
2018-01-12,1,2018,"Leggett","Edgecombe",35.988278,8,NA
2018-01-12,1,2018,"Mendenhall School","Guilford",36.1090060008986,15,NA
2018-01-12,1,2018,"Millbrook School","Wake",35.856111,0,35
2018-01-12,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,12,NA
2018-01-12,1,2018,"West Johnston Co.","Johnston",35.59095,13,NA
2018-01-13,1,2018,"Bryson City","Swain",35.434767,18,NA
2018-01-13,1,2018,"Castle Hayne","New Hanover",34.364167,10,NA
2018-01-13,1,2018,"Clemmons Middle","Forsyth",36.026,10,NA
2018-01-13,1,2018,"Durham Armory","Durham",36.0329550008979,20,NA
2018-01-13,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,15,32
2018-01-13,1,2018,"Hattie Avenue","Forsyth",36.110693332,10,NA
2018-01-13,1,2018,"Leggett","Edgecombe",35.988278,0,NA
2018-01-13,1,2018,"Mendenhall School","Guilford",36.1090060008986,12,NA
2018-01-13,1,2018,"Millbrook School","Wake",35.856111,24,32
2018-01-13,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,3,NA
2018-01-13,1,2018,"West Johnston Co.","Johnston",35.59095,8,NA
2018-01-14,1,2018,"Bryson City","Swain",35.434767,28,NA
2018-01-14,1,2018,"Castle Hayne","New Hanover",34.364167,10,NA
2018-01-14,1,2018,"Clemmons Middle","Forsyth",36.026,25,NA
2018-01-14,1,2018,"Durham Armory","Durham",36.0329550008979,20,NA
2018-01-14,1,2018,"Frying Pan Mountain","Haywood",35.379167,6,NA
2018-01-14,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,26.5,31
2018-01-14,1,2018,"Hattie Avenue","Forsyth",36.110693332,20.3333333333333,NA
2018-01-14,1,2018,"Leggett","Edgecombe",35.988278,10,NA
2018-01-14,1,2018,"Linville Falls","Avery",35.972347,10,NA
2018-01-14,1,2018,"Mendenhall School","Guilford",36.1090060008986,22,NA
2018-01-14,1,2018,"Millbrook School","Wake",35.856111,19.5,NA
2018-01-14,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,15.5,NA
2018-01-14,1,2018,"West Johnston Co.","Johnston",35.59095,15,NA
2018-01-15,1,2018,"Bryson City","Swain",35.434767,43,NA
2018-01-15,1,2018,"Castle Hayne","New Hanover",34.364167,21,NA
2018-01-15,1,2018,"Clemmons Middle","Forsyth",36.026,30,NA
2018-01-15,1,2018,"Durham Armory","Durham",36.0329550008979,44,NA
2018-01-15,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,43,27
2018-01-15,1,2018,"Hattie Avenue","Forsyth",36.110693332,30,NA
2018-01-15,1,2018,"Leggett","Edgecombe",35.988278,24,NA
2018-01-15,1,2018,"Mendenhall School","Guilford",36.1090060008986,40,NA
2018-01-15,1,2018,"Millbrook School","Wake",35.856111,35,NA
2018-01-15,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,30,NA
2018-01-15,1,2018,"West Johnston Co.","Johnston",35.59095,35,NA
2018-01-16,1,2018,"Bryson City","Swain",35.434767,52,NA
2018-01-16,1,2018,"Castle Hayne","New Hanover",34.364167,20,NA
2018-01-16,1,2018,"Clemmons Middle","Forsyth",36.026,69,NA
2018-01-16,1,2018,"Durham Armory","Durham",36.0329550008979,60,NA
2018-01-16,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,61,28
2018-01-16,1,2018,"Hattie Avenue","Forsyth",36.110693332,68,NA
2018-01-16,1,2018,"Leggett","Edgecombe",35.988278,29,NA
2018-01-16,1,2018,"Mendenhall School","Guilford",36.1090060008986,70,NA
2018-01-16,1,2018,"Millbrook School","Wake",35.856111,58,24
2018-01-16,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,37,NA
2018-01-16,1,2018,"West Johnston Co.","Johnston",35.59095,53,NA
2018-01-17,1,2018,"Bryson City","Swain",35.434767,37,NA
2018-01-17,1,2018,"Castle Hayne","New Hanover",34.364167,24,NA
2018-01-17,1,2018,"Clemmons Middle","Forsyth",36.026,55,NA
2018-01-17,1,2018,"Durham Armory","Durham",36.0329550008979,54.5,NA
2018-01-17,1,2018,"Frying Pan Mountain","Haywood",35.379167,15,NA
2018-01-17,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,40.5,28
2018-01-17,1,2018,"Hattie Avenue","Forsyth",36.110693332,47.5,NA
2018-01-17,1,2018,"Leggett","Edgecombe",35.988278,38,NA
2018-01-17,1,2018,"Linville Falls","Avery",35.972347,19,NA
2018-01-17,1,2018,"Mendenhall School","Guilford",36.1090060008986,51,NA
2018-01-17,1,2018,"Millbrook School","Wake",35.856111,56,29
2018-01-17,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,48.5,NA
2018-01-17,1,2018,"West Johnston Co.","Johnston",35.59095,66,NA
2018-01-18,1,2018,"Bryson City","Swain",35.434767,48,NA
2018-01-18,1,2018,"Castle Hayne","New Hanover",34.364167,30,NA
2018-01-18,1,2018,"Clemmons Middle","Forsyth",36.026,40,NA
2018-01-18,1,2018,"Durham Armory","Durham",36.0329550008979,45,NA
2018-01-18,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,40,31
2018-01-18,1,2018,"Hattie Avenue","Forsyth",36.110693332,35,NA
2018-01-18,1,2018,"Leggett","Edgecombe",35.988278,31,NA
2018-01-18,1,2018,"Mendenhall School","Guilford",36.1090060008986,34,NA
2018-01-18,1,2018,"Millbrook School","Wake",35.856111,54,35
2018-01-18,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,38,NA
2018-01-18,1,2018,"West Johnston Co.","Johnston",35.59095,50,NA
2018-01-19,1,2018,"Bryson City","Swain",35.434767,52,NA
2018-01-19,1,2018,"Clemmons Middle","Forsyth",36.026,54,NA
2018-01-19,1,2018,"Durham Armory","Durham",36.0329550008979,57,NA
2018-01-19,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,49,22
2018-01-19,1,2018,"Hattie Avenue","Forsyth",36.110693332,43,NA
2018-01-19,1,2018,"Leggett","Edgecombe",35.988278,25,NA
2018-01-19,1,2018,"Mendenhall School","Guilford",36.1090060008986,37,NA
2018-01-19,1,2018,"Millbrook School","Wake",35.856111,55,32
2018-01-19,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,34,NA
2018-01-19,1,2018,"West Johnston Co.","Johnston",35.59095,42,NA
2018-01-20,1,2018,"Bryson City","Swain",35.434767,51,NA
2018-01-20,1,2018,"Castle Hayne","New Hanover",34.364167,21,NA
2018-01-20,1,2018,"Clemmons Middle","Forsyth",36.026,63,NA
2018-01-20,1,2018,"Durham Armory","Durham",36.0329550008979,45,NA
2018-01-20,1,2018,"Frying Pan Mountain","Haywood",35.379167,6,NA
2018-01-20,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,43,32
2018-01-20,1,2018,"Hattie Avenue","Forsyth",36.110693332,36,NA
2018-01-20,1,2018,"Leggett","Edgecombe",35.988278,28,NA
2018-01-20,1,2018,"Linville Falls","Avery",35.972347,8,NA
2018-01-20,1,2018,"Mendenhall School","Guilford",36.1090060008986,38,NA
2018-01-20,1,2018,"Millbrook School","Wake",35.856111,50,35
2018-01-20,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,41,NA
2018-01-20,1,2018,"West Johnston Co.","Johnston",35.59095,40,NA
2018-01-21,1,2018,"Bryson City","Swain",35.434767,50,NA
2018-01-21,1,2018,"Clemmons Middle","Forsyth",36.026,48,NA
2018-01-21,1,2018,"Durham Armory","Durham",36.0329550008979,44,NA
2018-01-21,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,53,36
2018-01-21,1,2018,"Hattie Avenue","Forsyth",36.110693332,49,NA
2018-01-21,1,2018,"Leggett","Edgecombe",35.988278,22,NA
2018-01-21,1,2018,"Mendenhall School","Guilford",36.1090060008986,34,NA
2018-01-21,1,2018,"Millbrook School","Wake",35.856111,51,34
2018-01-21,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,35,NA
2018-01-21,1,2018,"West Johnston Co.","Johnston",35.59095,43,NA
2018-01-22,1,2018,"Bryson City","Swain",35.434767,48,NA
2018-01-22,1,2018,"Castle Hayne","New Hanover",34.364167,25,NA
2018-01-22,1,2018,"Clemmons Middle","Forsyth",36.026,58,NA
2018-01-22,1,2018,"Durham Armory","Durham",36.0329550008979,59,NA
2018-01-22,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,57,37
2018-01-22,1,2018,"Hattie Avenue","Forsyth",36.110693332,52,NA
2018-01-22,1,2018,"Leggett","Edgecombe",35.988278,40,NA
2018-01-22,1,2018,"Mendenhall School","Guilford",36.1090060008986,51,NA
2018-01-22,1,2018,"Millbrook School","Wake",35.856111,59,32
2018-01-22,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,39,NA
2018-01-22,1,2018,"West Johnston Co.","Johnston",35.59095,57,NA
2018-01-23,1,2018,"Bryson City","Swain",35.434767,17,NA
2018-01-23,1,2018,"Castle Hayne","New Hanover",34.364167,8,NA
2018-01-23,1,2018,"Clemmons Middle","Forsyth",36.026,25,NA
2018-01-23,1,2018,"Durham Armory","Durham",36.0329550008979,18.5,NA
2018-01-23,1,2018,"Frying Pan Mountain","Haywood",35.379167,11,NA
2018-01-23,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,15.5,36
2018-01-23,1,2018,"Hattie Avenue","Forsyth",36.110693332,20,NA
2018-01-23,1,2018,"Leggett","Edgecombe",35.988278,13,NA
2018-01-23,1,2018,"Linville Falls","Avery",35.972347,10,NA
2018-01-23,1,2018,"Mendenhall School","Guilford",36.1090060008986,19,NA
2018-01-23,1,2018,"Millbrook School","Wake",35.856111,20.5,37
2018-01-23,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,16,NA
2018-01-23,1,2018,"West Johnston Co.","Johnston",35.59095,15,NA
2018-01-24,1,2018,"Bryson City","Swain",35.434767,18,NA
2018-01-24,1,2018,"Castle Hayne","New Hanover",34.364167,7,NA
2018-01-24,1,2018,"Clemmons Middle","Forsyth",36.026,16,NA
2018-01-24,1,2018,"Durham Armory","Durham",36.0329550008979,26,NA
2018-01-24,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,22,28
2018-01-24,1,2018,"Hattie Avenue","Forsyth",36.110693332,15,NA
2018-01-24,1,2018,"Leggett","Edgecombe",35.988278,3,NA
2018-01-24,1,2018,"Mendenhall School","Guilford",36.1090060008986,13,NA
2018-01-24,1,2018,"Millbrook School","Wake",35.856111,20,31
2018-01-24,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,9,NA
2018-01-24,1,2018,"West Johnston Co.","Johnston",35.59095,15,NA
2018-01-25,1,2018,"Bryson City","Swain",35.434767,26,NA
2018-01-25,1,2018,"Castle Hayne","New Hanover",34.364167,13,NA
2018-01-25,1,2018,"Clemmons Middle","Forsyth",36.026,34,NA
2018-01-25,1,2018,"Durham Armory","Durham",36.0329550008979,43,NA
2018-01-25,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,30,31
2018-01-25,1,2018,"Hattie Avenue","Forsyth",36.110693332,34,NA
2018-01-25,1,2018,"Leggett","Edgecombe",35.988278,8,NA
2018-01-25,1,2018,"Mendenhall School","Guilford",36.1090060008986,27,NA
2018-01-25,1,2018,"Millbrook School","Wake",35.856111,35,31
2018-01-25,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,13,NA
2018-01-25,1,2018,"West Johnston Co.","Johnston",35.59095,25,NA
2018-01-26,1,2018,"Bryson City","Swain",35.434767,52,NA
2018-01-26,1,2018,"Castle Hayne","New Hanover",34.364167,6,NA
2018-01-26,1,2018,"Clemmons Middle","Forsyth",36.026,58,NA
2018-01-26,1,2018,"Durham Armory","Durham",36.0329550008979,46,NA
